FLOAT_DIFF, INTEGER_DIFF, CROSS_DIFF
0.000000, 0, 0.000000
0.000000, 0, 0.448181
0.000000, 0, 0.776474
0.000000, 0, -0.133850
0.000000, 0, 0.600800
0.000000, 0, -0.132614
0.000000, 0, 0.557419
0.000000, 0, 0.567947
0.000000, 0, -0.197433
0.000000, 0, 0.172333
0.000000, 0, -0.403366
0.000000, 0, 0.003998
0.000000, 0, 0.332703
0.000000, 0, -0.468582
0.000000, 0, -0.440262
0.000000, 0, 0.388458
0.000000, 0, 0.000000
0.000000, 0, 0.388458
0.000000, 0, -0.440262
0.000000, 0, -0.468582
0.000000, 0, 0.332703
0.000000, 0, 0.003998
0.000000, 0, -0.403366
0.000000, 0, 0.172333
0.000000, 0, -0.197433
0.000000, 0, 0.567947
0.000000, 0, 0.557419
0.000000, 0, -0.132614
0.000000, 0, 0.600800
0.000000, 0, -0.133850
0.000000, 0, 0.776474
0.000000, 0, 0.448181
0.000000, 0, 0.000000
0.000000, 0, 0.551826
0.000000, 0, 0.223526
0.000000, 0, 1.133842
0.000000, 0, 0.399200
0.000000, 0, 1.132614
0.000000, 0, 0.442581
0.000000, 0, 0.432053
0.000000, 0, 1.197437
0.000000, 0, 0.827673
0.000000, 0, 1.403358
0.000000, 0, 0.995999
0.000000, 0, 0.667299
0.000000, 0, 1.468577
0.000000, 0, 1.440269
0.000000, 0, 0.611540
0.000000, 0, 1.000000
0.000000, 0, 0.611540
0.000000, 0, 1.440269
0.000000, 0, 1.468577
0.000000, 0, 0.667299
0.000000, 0, 0.995999
0.000000, 0, 1.403358
0.000000, 0, 0.827673
0.000000, 0, 1.197437
0.000000, 0, 0.432053
0.000000, 0, 0.442581
0.000000, 0, 1.132614
0.000000, 0, 0.399200
0.000000, 0, 1.133842
0.000000, 0, 0.223526
0.000000, 0, 0.551826
0.000000, 0, 0.000000
0.000000, 0, 0.448181
0.000000, 0, 0.776474
0.000000, 0, -0.133850
0.000000, 0, 0.600800
0.000000, 0, -0.132614
0.000000, 0, 0.557419
0.000000, 0, 0.567947
0.000000, 0, -0.197433
0.000000, 0, 0.172333
0.000000, 0, -0.403366
0.000000, 0, 0.003998
0.000000, 0, 0.332703
0.000000, 0, -0.468582
0.000000, 0, -0.440262
0.000000, 0, 0.388458
